date,jyo_cd,race_no,pred_1st,pred_2nd,prob_win,prob_2nd,prob_exacta,true_1st,true_2nd,hit,payout_2nd,ev
2025-12-01,10,1,2,4,0.15498931763372123,0.13074634785325737,0.020264287236877513,6,-1,False,11200,2.2696001705302815
2025-12-01,10,2,1,2,0.43843461852441423,0.2208463694153815,0.09682669372713465,3,1,False,900,0.8714402435442119
2025-12-01,10,3,1,2,0.44378990916501,0.22562595194077675,0.10013052071706623,1,3,False,900,0.9011746864535961
2025-12-01,10,4,1,2,0.46413551406004205,0.23918976182116114,0.11101646306076364,3,1,False,900,0.9991481675468727
2025-12-01,10,5,4,5,0.10622753710493543,0.11948935581972829,0.01269305997898502,-1,6,False,1700,0.21578201964274535
2025-12-01,10,6,1,2,0.4425808984081352,0.22380299569839382,0.09905093090262715,1,5,False,1100,1.0895602399288986
2025-12-01,12,3,1,3,0.4705353109199346,0.1688145885807694,0.07943322492567317,1,-1,False,600,0.47659934955403904
2025-12-01,12,4,1,2,0.44752039854683995,0.22891413484375583,0.10244374485828267,1,3,False,1100,1.1268811934411094
2025-12-01,12,5,1,2,0.4283713196366701,0.22534275141891238,0.0965303717958776,3,1,False,1200,1.1583644615505313
2025-12-01,12,6,1,2,0.45141002323726653,0.2247373831330587,0.10144870734237649,1,2,True,900,0.9130383660813883
2025-12-01,12,7,1,2,0.4655443218286193,0.22538499638402879,0.1049267052919485,1,3,False,800,0.839413642335588
2025-12-01,12,8,1,2,0.4286640375655941,0.23455659408305307,0.10054597665727567,4,1,False,2000,2.0109195331455134
2025-12-01,12,9,1,2,0.44777095296631475,0.21487435590478215,0.09621449511150738,3,1,False,1100,1.0583594462265813
2025-12-01,12,10,1,2,0.4523354173135166,0.21298934458739197,0.09634262406727034,4,3,False,3600,3.468334466421732
2025-12-01,12,11,1,2,0.43055563149587806,0.21433426876859474,0.09228282644086956,1,3,False,1100,1.015111090849565
2025-12-01,22,1,1,2,0.44012250089076865,0.23082235750280808,0.10159011324563896,1,3,False,900,0.9143110192107506
2025-12-01,22,2,1,2,0.443157613084053,0.23554672362966245,0.10438432381349032,1,4,False,1200,1.252611885761884
2025-12-01,22,3,1,2,0.44196246367062614,0.2373381319731502,0.10489454552983767,1,4,False,1100,1.1538400008282144
2025-12-01,22,4,1,2,0.4945618655539329,0.2081426494476411,0.10293941701216366,1,-1,False,1800,1.852909506218946
2025-12-02,07,1,1,2,0.4443859464530786,0.19307241962854027,0.08579866993061482,2,1,False,1000,0.8579866993061482
2025-12-02,07,2,1,2,0.43364887496214044,0.23123147647912717,0.10027326963100813,1,3,False,800,0.8021861570480651
2025-12-02,07,3,1,2,0.4164802360871169,0.2194477675780608,0.09139565804970151,1,5,False,1700,1.5537261868449257
2025-12-02,07,4,1,2,0.44226042769635593,0.2353080666151116,0.10406744618160187,2,5,False,4200,4.370832739627279
2025-12-02,07,5,1,2,0.3917446571829457,0.22959545892187955,0.0899427943461128,1,3,False,900,0.8094851491150152
2025-12-02,07,6,1,2,0.42591750231623204,0.24593471040388096,0.10474789758808682,1,2,True,1100,1.152226873468955
2025-12-02,07,7,1,2,0.43077391845298385,0.2268035080084548,0.09770103586368478,2,1,False,1200,1.1724124303642174
2025-12-02,07,8,1,2,0.46079913449579507,0.224911759028925,0.10363914389845545,2,1,False,1200,1.2436697267814654
2025-12-02,07,9,1,2,0.44197971493463495,0.2305129963053223,0.10188206839575491,1,2,True,600,0.6112924103745294
2025-12-02,07,10,1,2,0.42534588297432296,0.2647499409588637,0.11261029740454777,1,2,True,900,1.01349267664093
2025-12-02,07,11,1,2,0.42999012811345705,0.21872428328877616,0.09404928259286494,1,2,True,600,0.5642956955571896
2025-12-02,07,12,1,2,0.44215064962599004,0.2532687689256443,0.11198295071044839,5,1,False,1100,1.2318124578149323
2025-12-02,08,1,1,2,0.45919267607790704,0.23175293246095294,0.10641924924564743,6,1,False,2200,2.3412234834042436
2025-12-02,08,2,1,2,0.4552888451639163,0.21505965699013677,0.09791426287238733,1,6,False,1200,1.1749711544686479
2025-12-02,08,3,1,2,0.44250238303328304,0.24470944769178435,0.1082845137543731,2,1,False,1300,1.4076986788068504
2025-12-02,08,4,1,2,0.4317792694881555,0.2365795188893848,0.10215013184191785,1,2,True,800,0.8172010547353428
2025-12-02,08,5,1,2,0.38926906087673724,0.24655972464522713,0.0959780724626745,1,2,True,700,0.6718465072387214
2025-12-02,08,6,1,2,0.46422844596529583,0.23105784416976952,0.1072636239270236,1,2,True,500,0.536318119635118
2025-12-02,08,7,1,2,0.4146765058972899,0.1998925457855225,0.08289074244125451,1,5,False,900,0.7460166819712906
2025-12-02,08,8,1,2,0.4539184670069665,0.21451061001819222,0.09737032725618704,1,3,False,500,0.4868516362809352
2025-12-02,08,9,1,2,0.4530493069283515,0.25019341944044177,0.11334995527552648,3,4,False,3600,4.080598389918953
2025-12-02,08,10,1,2,0.4158311510455959,0.21275639193174253,0.08847073534928443,1,3,False,600,0.5308244120957066
2025-12-02,08,11,1,2,0.45590304396596726,0.24337989237636543,0.11095763377449451,1,4,False,700,0.7767034364214616
2025-12-02,08,12,1,2,0.4289328496792819,0.23663532820678007,0.10150066566252633,4,1,False,1500,1.522509984937895
2025-12-02,12,1,1,2,0.4587537919280142,0.21140791992695507,0.09698418491010463,1,2,True,700,0.6788892943707324
2025-12-02,12,2,1,2,0.4200207034476568,0.2165192893516277,0.09094258422345741,1,2,True,600,0.5456555053407445
2025-12-02,12,3,1,2,0.4357521172195439,0.2220874999619008,0.09677509831639365,1,3,False,400,0.38710039326557466
2025-12-02,12,4,1,2,0.44834208139155435,0.20927871221001015,0.09382845342318005,3,1,False,1100,1.0321129876549806
2025-12-02,12,5,1,2,0.4327317734182009,0.22172540881130579,0.09594762936679194,1,3,False,500,0.4797381468339597
2025-12-02,12,6,1,2,0.38419342519234,0.24463269507981064,0.09398627303674575,3,1,False,1000,0.9398627303674576
2025-12-02,12,7,1,2,0.4500934864181821,0.2665617029787276,0.11997768623926343,1,4,False,1000,1.1997768623926344
2025-12-02,12,8,1,2,0.4429450844883789,0.21447621973300585,0.09500118727038438,2,4,False,4200,3.990049865356144
2025-12-02,12,9,1,2,0.43560102609725876,0.2184332394823139,0.09514974325224419,1,3,False,1100,1.046647175774686
2025-12-02,12,10,1,2,0.4388950149477774,0.22107484717835726,0.09702864835692271,1,4,False,700,0.679200538498459
2025-12-02,12,11,1,2,0.43987443880437327,0.2189338633333646,0.0963034102690371,3,4,False,3200,3.0817091286091873
2025-12-02,12,12,1,3,0.4385764098773589,0.19807411064258193,0.08687063233527435,2,1,False,800,0.6949650586821948
2025-12-02,13,1,1,2,0.4460706964189407,0.21979977251831653,0.0980462375999702,6,2,False,4400,4.314034454398689
2025-12-02,13,2,1,3,0.4368900422808437,0.2362283932649431,0.10320583272145677,2,6,False,3600,3.7154099779724437
2025-12-02,13,3,1,2,0.44127628295054905,0.2436513219964685,0.10751754970658897,2,3,False,2500,2.6879387426647243
2025-12-02,13,4,1,2,0.4528331608650466,0.21661479623558694,0.09809036286949883,2,1,False,1300,1.2751747173034849
2025-12-02,13,5,1,2,0.43869422338401837,0.21883769442295348,0.0960028324020267,1,2,True,400,0.3840113296081068
2025-12-02,13,6,1,2,0.39808081197805334,0.21253280480426345,0.08460523150845431,5,1,False,1300,1.099868009609906
2025-12-02,13,7,1,2,0.4355512705648857,0.22462253227344772,0.0978346293292022,1,3,False,900,0.8805116639628199
2025-12-02,13,8,1,2,0.4378559330329251,0.21403515015521848,0.09371656037305541,2,1,False,1100,1.0308821641036097
2025-12-02,13,9,1,2,0.4382619017563437,0.22320861517542892,0.09782383217518337,1,3,False,500,0.48911916087591684
2025-12-02,13,10,1,2,0.44407176636244206,0.20062553376770334,0.08909213515763179,1,2,True,1300,1.1581977570492132
2025-12-02,15,1,1,2,0.43173579609382196,0.1922684893013037,0.08300918929225484,1,3,False,1100,0.9131010822148032
2025-12-02,15,2,1,2,0.4421315504478613,0.23330533137929377,0.10315164789047922,1,5,False,1000,1.0315164789047921
2025-12-02,15,3,1,2,0.4424704551069445,0.24833838187680363,0.10988239684955148,2,3,False,2500,2.7470599212387867
2025-12-02,15,4,1,2,0.428398214139923,0.21111196068384447,0.0904399869405366,1,2,True,600,0.5426399216432196
2025-12-02,15,5,1,2,0.44258555389884213,0.21907731808590675,0.09696045617172386,2,6,False,7100,6.884192388192393
2025-12-02,15,6,1,2,0.4254423429841155,0.21507128580765617,0.09150043174261559,2,1,False,700,0.6405030221983091
2025-12-02,15,7,1,2,0.43998316459744846,0.22039814344710784,0.0969714726252609,1,3,False,700,0.6788003083768263
2025-12-02,15,8,1,2,0.434960990138925,0.21774169883221886,0.09470914491859352,4,1,False,1200,1.1365097390231222
2025-12-02,15,9,1,2,0.4456836409224633,0.21559717125261474,0.09608813225644917,1,3,False,800,0.7687050580515934
2025-12-02,15,10,1,2,0.43683758441932563,0.20897861997872996,0.09128971554679262,1,3,False,700,0.6390280088275483
2025-12-02,17,1,1,2,0.4413080704745284,0.2201783733434071,0.09716649310039932,3,1,False,1400,1.3603309034055906
2025-12-02,17,2,1,2,0.4298852163612214,0.2529729659839649,0.10874933821555666,1,3,False,700,0.7612453675088966
2025-12-02,17,3,1,2,0.457560869089371,0.21289537964815713,0.09741259493692236,2,1,False,1000,0.9741259493692236
2025-12-02,17,4,1,2,0.41373564474573654,0.20751386144002112,0.08585588125656457,1,2,True,900,0.7727029313090812
2025-12-02,17,5,1,2,0.43076306311012746,0.22941243379475115,0.09882240269697633,2,6,False,3500,3.4587840943941717
2025-12-02,17,6,1,2,0.4315038914076056,0.21624311097128396,0.09330974387419572,4,3,False,5600,5.22534565695496
2025-12-02,17,7,1,2,0.447027427778388,0.22405022818874573,0.10015659720037588,1,3,False,700,0.7010961804026311
2025-12-02,17,8,1,2,0.4257374199887031,0.2172133275085936,0.09247584164066984,5,3,False,6800,6.2883572315655485
2025-12-02,17,9,1,2,0.4486637225636743,0.22798768429795355,0.1022898031357916,1,3,False,700,0.7160286219505412
2025-12-02,17,10,1,2,0.43523909374769176,0.22137557210948594,0.09635130338280945,3,1,False,800,0.7708104270624756
2025-12-02,17,11,1,2,0.4511385083990641,0.22045084518575642,0.09945386547241515,4,1,False,1300,1.292900251141397
2025-12-02,17,12,1,2,0.4436970968711028,0.21753184393052705,0.09651824762899268,4,1,False,1200,1.158218971547912
2025-12-02,18,1,1,2,0.423562391088317,0.22263295632835794,0.09429894731750015,3,4,False,2700,2.546071577572504
2025-12-02,18,2,1,2,0.43411272970544096,0.223934319886903,0.09721273888083487,1,3,False,1100,1.0693401276891834
2025-12-02,18,3,1,2,0.4291962971664527,0.2200941866125365,0.0944636099219629,1,3,False,800,0.7557088793757032
2025-12-02,18,4,1,2,0.4470849430327746,0.22269028348419403,0.09956147270548331,2,1,False,900,0.8960532543493498
2025-12-02,18,5,1,2,0.4638877337079426,0.2301351436512238,0.10675687023491803,1,3,False,600,0.6405412214095082
2025-12-02,18,6,1,2,0.4398350881987245,0.2007869944527317,0.08831316541427406,3,2,False,2000,1.766263308285481
2025-12-02,18,7,1,2,0.43849628601149654,0.21868259692766873,0.09589150656813183,4,1,False,2300,2.205504651067032
2025-12-02,18,8,1,2,0.4544390582677837,0.21237662087861306,0.09651223159017104,1,6,False,1600,1.5441957054427364
2025-12-02,18,9,1,2,0.42670359313016076,0.19624042508987963,0.08373649450324179,1,4,False,1100,0.9211014395356597
2025-12-02,18,10,1,2,0.429293684401997,0.20413700761365497,0.08763472812126445,1,3,False,1300,1.1392514655764379
2025-12-02,19,1,1,2,0.4426312207559342,0.2127493879159494,0.09416952128831449,4,1,False,1800,1.695051383189661
2025-12-02,19,2,1,2,0.47369311653240537,0.25081104872893134,0.11880746733316848,2,1,False,1000,1.1880746733316847
2025-12-02,19,3,1,2,0.44107819593360015,0.24188849153328518,0.10669173946260134,1,4,False,1300,1.3869926130138175
2025-12-02,19,4,1,2,0.4157979310794977,0.2590273692871336,0.10770304424255518,1,3,False,700,0.7539213096978863
2025-12-02,19,5,1,2,0.4554703605907358,0.23089929728562,0.10516778619482885,2,1,False,800,0.8413422895586308
2025-12-02,19,6,1,2,0.43971648624729676,0.23123261187453242,0.10167679159925434,4,5,False,5700,5.795577121157497
2025-12-02,19,7,1,2,0.4467087114931781,0.2344947296238607,0.10475083852221599,1,3,False,800,0.8380067081777279
2025-12-02,19,8,1,2,0.41740213860002745,0.22026348205364027,0.09193844846467822,1,5,False,1200,1.1032613815761387
2025-12-02,19,9,1,2,0.4780924590378863,0.2295216070675379,0.10973254952524669,1,2,True,1000,1.097325495252467
2025-12-02,19,10,1,2,0.45220348092242735,0.28627886692175863,0.1294563001365476,1,2,True,500,0.647281500682738
2025-12-03,02,1,1,2,0.4306360490159806,0.22472666254092685,0.09677540206517231,2,1,False,700,0.6774278144562063
2025-12-03,02,2,1,2,0.4334270993946757,0.20568017068594946,0.08914735978341289,1,4,False,1000,0.8914735978341288
2025-12-03,02,3,1,2,0.42047989800693164,0.21513780313563413,0.09046112151990678,5,3,False,8100,7.327350843112449
2025-12-03,02,4,1,2,0.4514006033882237,0.2263689718825517,0.10218309049615568,1,3,False,500,0.5109154524807784
2025-12-03,02,5,1,2,0.44226840862599487,0.19970829172494436,0.08832466837060708,2,6,False,8000,7.065973469648567
2025-12-03,02,6,1,2,0.43510398564437736,0.23125894009788467,0.10062168655248394,5,2,False,5600,5.6348144469391
2025-12-03,02,7,1,2,0.45080289247207184,0.2171574391102846,0.09789520167274411,1,4,False,900,0.881056815054697
2025-12-03,02,8,1,2,0.4491429648070823,0.23010129197550253,0.10334837648381731,1,4,False,1200,1.2401805178058078
2025-12-03,02,9,1,2,0.4428247870444113,0.22413970767667776,0.09925461832012143,2,3,False,2600,2.5806200763231573
2025-12-03,02,10,1,2,0.4458371090031461,0.22359394918384393,0.09968647989472133,1,3,False,1000,0.9968647989472132
2025-12-03,02,11,1,3,0.4503198047224783,0.22616965330203945,0.10184867410912501,3,1,False,1100,1.1203354152003753
2025-12-03,02,12,1,2,0.4382386459035539,0.23221710705802576,0.10176651055274981,5,1,False,2700,2.747695784924245
2025-12-03,03,1,1,2,0.451609219949314,0.22454750781349753,0.10140772484521611,1,2,True,500,0.5070386242260806
2025-12-03,03,2,1,2,0.4474303545718376,0.23990044698352989,0.1073387420557831,1,5,False,900,0.966048678502048
2025-12-03,03,3,1,2,0.44338047100328803,0.22725957768290142,0.10076245859305316,4,1,False,1300,1.3099119617096913
2025-12-03,03,4,1,2,0.42544953128255913,0.2355380929839483,0.10020957125920862,1,5,False,1700,1.7035627114065466
