feature,importance
st_x_course,74216.06398391724
course,48646.790771484375
top2_pct,8153.954025268555
win_pct,6821.549434661865
motor_top2_pct,6038.855312347412
motor_win_pct,4799.821811676025
top3_pct,1985.5043258666992
jyo_course_win_pct,1622.247299194336
tenji_vs_avg,671.3142967224121
motor_racer_score,557.5609970092773
win_rate,538.3035926818848
dayofweek,503.73919677734375
motor_nirenritsu,477.82529067993164
nirenritsu,426.79959869384766
motor_avg_rank,417.5925941467285
win_rate_vs_avg,373.14270401000977
tenji_time,346.56650161743164
st,337.4425964355469
sanrenritsu,330.3410949707031
avg_tenji,328.97230529785156
avg_rank,314.49470138549805
mkt_win_prob_180d,288.75300216674805
water_temp,239.0403938293457
mkt_win_prob_90d,228.7353973388672
mkt_avg_payout_90d,216.46780014038086
avg_st_rank,142.08609771728516
st_rank,137.08520126342773
jyo_course_avg_rank,129.13319778442383
wind_speed,117.3843002319336
mkt_avg_payout_180d,104.09150314331055
win_rate_rank,59.59090042114258
wave,56.35089874267578
avg_st,54.83829879760742
st_vs_avg,49.88999938964844
month,0.0
weather_num,0.0
racer_class_num,0.0
is_inner_course,0.0
is_weekend,0.0
is_course1,0.0
winrate_x_course,0.0
tenji_rank,0.0
nirenritsu_rank,0.0
motor_rank,0.0
