feature,importance
st_x_course,325850.5347895622
course,155111.04458236694
is_inner_course,59698.1015625
is_course1,43307.21337890625
jyo_course_avg_rank,12602.483624458313
top3_pct,11925.764085769653
jyo_course_win_pct,9169.966791629791
motor_avg_rank,5426.665742397308
avg_rank,2721.2949166297913
motor_top2_pct,1806.7603740692139
motor_win_pct,1532.038784980774
top2_pct,1420.9360308647156
win_pct,988.4845428466797
motor_nirenritsu,943.067901134491
water_temp,814.9510779380798
tenji_time,788.9481115341187
nirenritsu,727.1489405632019
win_rate,582.1789684295654
st,580.1497774124146
motor_racer_score,545.8279209136963
sanrenritsu,532.5917782783508
avg_tenji,522.3613209724426
winrate_x_course,489.45368909835815
wind_speed,434.54231214523315
month,351.38670921325684
dayofweek,268.2690896987915
wave,203.48420095443726
avg_st,195.00826978683472
weather_num,108.0047402381897
racer_class_num,35.886889934539795
is_weekend,0.0
