feature,importance
course,240508.89109039307
is_course1,81861.2445678711
st_x_course,70169.88111305237
jyo_course_win_pct,19589.150639533997
win_pct,11785.768100261688
motor_win_pct,9357.526150226593
is_inner_course,6326.964950561523
motor_top2_pct,1903.507912158966
top2_pct,1900.4917879104614
avg_rank,1707.6506938934326
top3_pct,1345.970239162445
jyo_course_avg_rank,1110.6055002212524
motor_avg_rank,1046.2340188026428
motor_nirenritsu,929.6530203819275
nirenritsu,912.5025639533997
water_temp,870.0138306617737
sanrenritsu,799.0418801307678
winrate_x_course,794.4440908432007
tenji_time,693.8190789222717
st,561.0201435089111
win_rate,559.2762112617493
avg_tenji,536.3611407279968
motor_racer_score,469.7441711425781
wave,348.3377175331116
month,340.16973972320557
dayofweek,327.4880599975586
wind_speed,280.5500898361206
avg_st,170.6672396659851
weather_num,89.24852895736694
racer_class_num,18.36717987060547
is_weekend,0.0
