jyo_cd,course,mkt_avg_payout_90d,mkt_win_prob_90d,n_90d,mkt_avg_payout_180d,mkt_win_prob_180d,n_180d
01,1,862.1,0.116002,297,878.0,0.113896,494
01,2,2019.5,0.049516,85,1881.9,0.053139,151
01,3,1625.2,0.06153,71,1971.6,0.050721,120
01,4,2928.3,0.034149,42,2726.7,0.036674,67
01,5,3468.3,0.028833,41,3212.7,0.031126,55
01,6,6100.6,0.016392,17,5336.1,0.01874,28
02,1,961.9,0.103957,222,949.8,0.105289,423
02,2,1697.9,0.058895,73,1776.5,0.056289,130
02,3,1970.6,0.050747,53,1930.8,0.051792,102
02,4,3239.7,0.030867,35,3269.3,0.030587,59
02,5,3280.3,0.030485,35,3711.7,0.026942,69
02,6,4189.3,0.02387,15,4480.8,0.022317,24
03,1,871.7,0.114721,244,878.6,0.113813,431
03,2,2033.2,0.049183,71,1929.6,0.051823,110
03,3,2291.5,0.04364,55,2186.5,0.045735,94
03,4,3415.5,0.029278,42,3220.9,0.031047,79
03,5,3493.8,0.028622,34,3215.3,0.031101,58
03,6,5413.3,0.018473,18,5457.5,0.018323,32
04,1,961.7,0.103984,208,948.1,0.105476,375
04,2,2630.0,0.038023,47,2051.2,0.048751,90
04,3,2347.4,0.0426,50,2043.8,0.048928,86
04,4,2512.0,0.039808,49,2816.7,0.035502,83
04,5,2637.3,0.037917,41,3040.2,0.032893,58
04,6,4351.7,0.02298,18,4630.4,0.021596,24
05,1,865.8,0.115502,306,908.3,0.11009,471
05,2,1832.3,0.054575,81,1794.4,0.055729,139
05,3,1807.5,0.055324,61,2233.9,0.044764,102
05,4,3150.7,0.031739,41,2981.5,0.03354,66
05,5,4051.6,0.024682,25,4106.3,0.024353,46
05,6,6395.9,0.015635,17,5504.2,0.018168,31
06,1,845.7,0.118245,270,878.0,0.113892,526
06,2,1644.9,0.060793,61,1773.8,0.056378,128
06,3,2036.9,0.049094,74,2207.4,0.045301,125
06,4,2727.2,0.036667,47,2472.7,0.040442,74
06,5,4802.3,0.020823,30,4348.3,0.022998,47
06,6,6686.7,0.014955,21,6343.8,0.015763,37
07,1,783.6,0.127613,293,850.8,0.117537,563
07,2,1994.4,0.050141,78,1809.0,0.05528,163
07,3,2215.3,0.045141,70,2312.8,0.043238,115
07,4,2379.8,0.042021,45,2579.6,0.038766,74
07,5,3141.6,0.031831,32,3753.7,0.02664,62
07,6,3882.3,0.025758,26,4543.5,0.022009,40
08,1,867.1,0.115327,262,891.5,0.112172,484
08,2,1882.5,0.053121,72,1991.3,0.050219,133
08,3,2110.5,0.047383,63,2087.0,0.047916,103
08,4,3475.6,0.028772,39,3263.5,0.030642,78
08,5,3572.5,0.027992,28,3477.1,0.02876,51
08,6,3908.0,0.025589,20,4753.0,0.021039,37
09,1,940.6,0.106319,212,962.8,0.103864,414
