jyo_cd,jyo_name,course,jyo_races,jyo_course_avg_rank,jyo_course_win_count,jyo_course_win_pct
1,桐生,1,3266,1.73,1755,53.7
1,桐生,2,3262,3.08,523,16.0
1,桐生,3,3260,3.32,411,12.6
1,桐生,4,3265,3.9,247,7.6
1,桐生,5,3264,4.22,209,6.4
1,桐生,6,3261,4.73,121,3.7
2,戸田,1,3098,1.72,1691,54.6
2,戸田,2,3099,3.08,456,14.7
2,戸田,3,3098,3.37,385,12.4
2,戸田,4,3098,3.86,257,8.3
2,戸田,5,3098,4.23,203,6.6
2,戸田,6,3099,4.74,108,3.5
3,江戸川,1,2981,1.71,1638,54.9
3,江戸川,2,2984,3.09,428,14.3
3,江戸川,3,2981,3.39,362,12.1
3,江戸川,4,2983,3.87,243,8.1
3,江戸川,5,2984,4.22,198,6.6
3,江戸川,6,2975,4.69,119,4.0
4,平和島,1,2904,1.74,1563,53.8
4,平和島,2,2905,3.1,422,14.5
4,平和島,3,2904,3.34,364,12.5
4,平和島,4,2906,3.91,252,8.7
4,平和島,5,2906,4.17,194,6.7
4,平和島,6,2905,4.73,111,3.8
5,多摩川,1,2888,1.69,1606,55.6
5,多摩川,2,2887,3.07,445,15.4
5,多摩川,3,2887,3.35,361,12.5
5,多摩川,4,2887,3.91,213,7.4
5,多摩川,5,2885,4.27,143,5.0
5,多摩川,6,2887,4.7,121,4.2
6,浜名湖,1,2757,1.7,1550,56.2
6,浜名湖,2,2754,3.08,396,14.4
6,浜名湖,3,2757,3.32,326,11.8
6,浜名湖,4,2756,3.9,214,7.8
6,浜名湖,5,2757,4.22,164,5.9
6,浜名湖,6,2756,4.76,109,4.0
7,蒲郡,1,3143,1.72,1736,55.2
7,蒲郡,2,3143,3.07,445,14.2
7,蒲郡,3,3142,3.36,390,12.4
7,蒲郡,4,3143,3.87,267,8.5
7,蒲郡,5,3140,4.24,196,6.2
7,蒲郡,6,3142,4.73,110,3.5
8,常滑,1,2945,1.69,1665,56.5
8,常滑,2,2948,3.08,440,14.9
8,常滑,3,2948,3.38,325,11.0
8,常滑,4,2949,3.92,249,8.4
8,常滑,5,2949,4.21,161,5.5
8,常滑,6,2948,4.71,108,3.7
9,津,1,2715,1.71,1467,54.0
9,津,2,2715,3.1,411,15.1
9,津,3,2715,3.38,330,12.2
9,津,4,2715,3.93,215,7.9
9,津,5,2715,4.21,175,6.4
9,津,6,2715,4.67,117,4.3
10,三国,1,3097,1.7,1734,56.0
10,三国,2,3097,3.1,447,14.4
10,三国,3,3097,3.37,369,11.9
10,三国,4,3097,3.85,258,8.3
10,三国,5,3096,4.22,175,5.7
10,三国,6,3098,4.76,116,3.7
11,びわこ,1,2992,1.7,1678,56.1
11,びわこ,2,2994,3.12,413,13.8
11,びわこ,3,2992,3.35,385,12.9
11,びわこ,4,2993,3.85,240,8.0
11,びわこ,5,2992,4.24,182,6.1
11,びわこ,6,2989,4.73,97,3.2
12,住之江,1,2897,1.71,1577,54.4
12,住之江,2,2897,3.07,446,15.4
12,住之江,3,2897,3.33,365,12.6
12,住之江,4,2896,3.85,230,7.9
12,住之江,5,2896,4.26,163,5.6
12,住之江,6,2896,4.77,116,4.0
13,尼崎,1,2655,1.71,1468,55.3
13,尼崎,2,2654,3.07,394,14.8
13,尼崎,3,2653,3.38,327,12.3
13,尼崎,4,2657,3.89,218,8.2
13,尼崎,5,2653,4.23,151,5.7
13,尼崎,6,2652,4.7,101,3.8
14,鳴門,1,3075,1.7,1717,55.8
14,鳴門,2,3074,3.13,444,14.4
14,鳴門,3,3074,3.37,360,11.7
14,鳴門,4,3074,3.89,233,7.6
14,鳴門,5,3073,4.22,176,5.7
14,鳴門,6,3072,4.67,147,4.8
15,丸亀,1,2690,1.7,1511,56.2
15,丸亀,2,2689,3.1,389,14.5
15,丸亀,3,2689,3.4,292,10.9
15,丸亀,4,2691,3.83,206,7.7
15,丸亀,5,2690,4.24,173,6.4
15,丸亀,6,2690,4.72,120,4.5
16,児島,1,2848,1.72,1547,54.3
16,児島,2,2849,3.1,463,16.3
16,児島,3,2849,3.35,317,11.1
16,児島,4,2851,3.91,226,7.9
16,児島,5,2851,4.2,186,6.5
16,児島,6,2849,4.72,112,3.9
17,宮島,1,2755,1.73,1497,54.3
17,宮島,2,2755,3.07,429,15.6
17,宮島,3,2754,3.38,337,12.2
17,宮島,4,2753,3.91,226,8.2
17,宮島,5,2754,4.18,173,6.3
17,宮島,6,2751,4.72,94,3.4
18,徳山,1,2993,1.72,1621,54.2
18,徳山,2,2993,3.13,453,15.1
18,徳山,3,2993,3.37,345,11.5
18,徳山,4,2991,3.83,282,9.4
18,徳山,5,2994,4.26,174,5.8
18,徳山,6,2988,4.68,119,4.0
19,下関,1,2637,1.74,1424,54.0
19,下関,2,2640,3.07,390,14.8
19,下関,3,2638,3.39,307,11.6
19,下関,4,2641,3.84,245,9.3
19,下関,5,2639,4.22,161,6.1
19,下関,6,2637,4.72,114,4.3
20,若松,1,3040,1.71,1644,54.1
20,若松,2,3040,3.06,507,16.7
20,若松,3,3040,3.38,340,11.2
20,若松,4,3039,3.91,241,7.9
20,若松,5,3039,4.24,180,5.9
20,若松,6,3037,4.7,128,4.2
21,芦屋,1,2676,1.68,1473,55.0
