jyo_cd,motor_no,motor_races,motor_avg_rank,motor_win_count,motor_top2_count,motor_win_pct,motor_top2_pct
1,1,232,3.5,42,80,18.1,34.5
1,2,205,3.54,40,64,19.5,31.2
1,3,211,3.44,37,73,17.5,34.6
1,4,229,3.59,35,74,15.3,32.3
1,5,206,3.42,38,77,18.4,37.4
1,6,225,3.39,46,81,20.4,36.0
1,7,210,3.4,37,74,17.6,35.2
1,8,237,3.66,33,73,13.9,30.8
1,9,204,3.6,33,69,16.2,33.8
1,10,222,3.55,36,70,16.2,31.5
1,11,218,3.4,39,77,17.9,35.3
1,12,220,3.37,32,86,14.5,39.1
1,13,207,3.47,35,69,16.9,33.3
1,14,198,3.37,39,68,19.7,34.3
1,15,221,3.62,31,68,14.0,30.8
1,16,231,3.54,43,82,18.6,35.5
1,17,224,3.42,38,77,17.0,34.4
1,18,191,3.53,27,58,14.1,30.4
1,19,239,3.56,35,75,14.6,31.4
1,20,228,3.49,41,75,18.0,32.9
1,21,235,3.41,33,79,14.0,33.6
1,22,202,3.46,32,67,15.8,33.2
1,23,214,3.4,31,74,14.5,34.6
1,24,194,3.57,35,60,18.0,30.9
1,25,218,3.6,31,68,14.2,31.2
1,26,212,3.21,48,81,22.6,38.2
1,27,219,3.38,40,77,18.3,35.2
1,28,237,3.56,37,78,15.6,32.9
1,29,218,3.44,37,74,17.0,33.9
1,30,235,3.54,38,73,16.2,31.1
1,31,217,3.62,33,68,15.2,31.3
1,32,231,3.4,36,80,15.6,34.6
1,33,192,3.35,34,78,17.7,40.6
1,34,231,3.44,36,83,15.6,35.9
1,35,221,3.6,37,76,16.7,34.4
1,36,207,3.3,35,79,16.9,38.2
1,37,227,3.59,36,69,15.9,30.4
1,38,210,3.61,27,62,12.9,29.5
1,39,247,3.7,27,66,10.9,26.7
1,40,234,3.5,35,78,15.0,33.3
1,41,225,3.83,25,57,11.1,25.3
1,42,221,3.39,40,76,18.1,34.4
1,43,205,3.58,33,58,16.1,28.3
1,44,204,3.49,31,70,15.2,34.3
1,45,218,3.52,37,78,17.0,35.8
1,46,217,3.71,30,61,13.8,28.1
1,47,219,3.47,45,76,20.5,34.7
1,48,232,3.5,41,74,17.7,31.9
1,49,203,3.4,33,77,16.3,37.9
1,50,219,3.57,34,77,15.5,35.2
1,51,218,3.4,47,80,21.6,36.7
1,52,201,3.49,36,65,17.9,32.3
1,53,230,3.47,42,80,18.3,34.8
1,54,255,3.58,36,82,14.1,32.2
1,55,218,3.36,41,78,18.8,35.8
1,56,200,3.5,33,63,16.5,31.5
1,57,230,3.73,29,66,12.6,28.7
1,58,203,3.48,32,72,15.8,35.5
1,59,220,3.63,30,67,13.6,30.5
1,60,237,3.57,34,73,14.3,30.8
1,61,195,3.44,36,66,18.5,33.8
1,62,217,3.44,34,74,15.7,34.1
1,63,225,3.5,37,69,16.4,30.7
1,64,206,3.58,33,65,16.0,31.6
1,65,205,3.38,45,80,22.0,39.0
1,66,227,3.6,35,69,15.4,30.4
1,67,238,3.49,46,77,19.3,32.4
1,68,238,3.52,41,87,17.2,36.6
1,69,193,3.46,34,61,17.6,31.6
1,70,227,3.44,46,84,20.3,37.0
1,71,197,3.61,29,60,14.7,30.5
1,72,225,3.38,46,78,20.4,34.7
1,73,219,3.39,32,80,14.6,36.5
1,74,202,3.45,39,66,19.3,32.7
1,75,205,3.63,32,71,15.6,34.6
1,76,221,3.4,43,74,19.5,33.5
1,77,215,3.5,44,71,20.5,33.0
1,78,216,3.58,37,59,17.1,27.3
1,79,209,3.37,36,77,17.2,36.8
2,1,206,3.39,32,72,15.5,35.0
2,2,217,3.51,38,75,17.5,34.6
2,3,191,3.72,24,51,12.6,26.7
2,4,199,3.58,33,64,16.6,32.2
2,5,212,3.43,38,80,17.9,37.7
2,6,223,3.47,34,75,15.2,33.6
2,7,211,3.41,45,75,21.3,35.5
2,8,214,3.48,40,79,18.7,36.9
2,9,221,3.33,43,89,19.5,40.3
2,10,193,3.54,30,61,15.5,31.6
2,11,221,3.64,41,62,18.6,28.1
2,12,214,3.57,29,74,13.6,34.6
2,13,211,3.45,44,72,20.9,34.1
2,14,212,3.49,40,70,18.9,33.0
2,15,227,3.37,50,86,22.0,37.9
2,16,208,3.35,46,77,22.1,37.0
2,17,209,3.47,33,70,15.8,33.5
2,18,214,3.66,35,61,16.4,28.5
2,19,226,3.63,37,68,16.4,30.1
2,20,227,3.56,30,71,13.2,31.3
2,21,227,3.49,40,73,17.6,32.2
2,22,182,3.45,33,65,18.1,35.7
2,23,215,3.34,35,77,16.3,35.8
2,24,213,3.4,45,72,21.1,33.8
2,25,196,3.66,23,59,11.7,30.1
2,26,190,3.43,30,70,15.8,36.8
2,27,208,3.5,38,61,18.3,29.3
2,28,176,3.51,27,60,15.3,34.1
