racer_id,form_win_3,form_top2_3,form_avg_rank_3,form_avg_st_3,form_win_5,form_top2_5,form_avg_rank_5,form_avg_st_5,form_win_10,form_top2_10,form_avg_rank_10,form_avg_st_10,form_trend_win,form_trend_rank,form_win_streak,form_no_win_streak
2000,0.0,0.3333333333333333,4.0,0.17666666666666667,0.0,0.2,4.8,0.172,0.0,0.2,4.5,0.16599999999999998,0.0,-0.5,0,36
2001,0.0,0.3333333333333333,4.0,0.16666666666666666,0.0,0.2,4.2,0.174,0.1,0.3,3.9,0.17099999999999999,-0.13333333333333333,0.10000000000000009,0,9
2002,0.6666666666666666,0.6666666666666666,2.0,0.18666666666666665,0.6,0.6,2.6,0.188,0.4,0.4,3.5,0.16299999999999998,0.26666666666666666,-1.5,0,1
2003,0.0,0.0,5.333333333333333,0.15333333333333332,0.2,0.2,4.0,0.166,0.3,0.5,2.9,0.14899999999999997,-0.09999999999999998,2.433333333333333,0,3
2004,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.16666666666666666,0.4,0.4,2.6,0.146,0.2,0.4,3.3,0.131,0.2666666666666667,-0.6333333333333333,0,1
2005,0.0,0.6666666666666666,2.6666666666666665,0.13333333333333333,0.0,0.4,3.4,0.128,0.1,0.4,3.2,0.151,-0.1,-0.5333333333333337,0,9
2006,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.16333333333333333,0.2,0.4,3.8,0.14,0.3,0.4,3.4,0.123,-0.09999999999999998,-0.7333333333333334,0,2
2007,0.3333333333333333,0.3333333333333333,3.0,0.14,0.2,0.2,3.6,0.154,0.1,0.2,3.3,0.15999999999999998,0.033333333333333354,-0.2999999999999998,1,0
2008,0.0,0.0,5.0,0.17666666666666667,0.2,0.2,4.2,0.164,0.1,0.4,3.3,0.15499999999999997,0.1,1.7000000000000002,0,3
2009,0.3333333333333333,0.3333333333333333,3.0,0.17,0.2,0.4,3.4,0.162,0.1,0.2,3.9,0.15799999999999997,0.06666666666666668,-0.8999999999999999,1,0
2010,0.3333333333333333,0.3333333333333333,4.0,0.11,0.2,0.2,4.4,0.12400000000000003,0.1,0.2,3.9,0.129,0.0,0.10000000000000009,0,1
2011,0.0,0.3333333333333333,3.6666666666666665,0.15666666666666668,0.2,0.4,3.2,0.12600000000000003,0.1,0.4,3.0,0.13399999999999998,0.033333333333333354,0.6666666666666665,0,3
