weather,course,w_races,w_avg_rank,w_win_count,w_course_win_pct
晴,1,35199,1.7076053296968663,19425,55.2
晴,2,35192,3.092492611957263,5276,15.0
晴,3,35191,3.3660310874939614,4143,11.8
晴,4,35202,3.869865348559741,2886,8.2
晴,5,35195,4.224406875976701,2113,6.0
晴,6,35178,4.7266189095457385,1384,3.9
曇り,1,20688,1.713263727764888,11342,54.8
曇り,2,20698,3.087109865687506,3070,14.8
曇り,3,20693,3.3658725172763737,2530,12.2
曇り,4,20697,3.868579987437793,1710,8.3
曇り,5,20690,4.234219429676172,1272,6.1
曇り,6,20680,4.722582205029013,778,3.8
雨,1,12120,1.7156765676567656,6608,54.5
雨,2,12118,3.0826043901633935,1835,15.1
雨,3,12115,3.359719356170037,1498,12.4
雨,4,12118,3.8959399240798813,972,8.0
雨,5,12120,4.21996699669967,745,6.1
雨,6,12119,4.722006766234838,465,3.8
雪,1,1429,1.7011896431070679,788,55.1
雪,2,1428,3.1288515406162465,226,15.8
雪,3,1427,3.315346881569727,151,10.6
雪,4,1428,3.8746498599439776,111,7.8
雪,5,1429,4.2911126662001395,89,6.2
雪,6,1428,4.688375350140056,63,4.4
