date,jyo_cd,race_no,rank1_course,rank2_course,payout_2nd
2024-04-01,09,1,2,1,1000
2024-04-01,09,2,3,1,1300
2024-04-01,09,3,1,2,1200
2024-04-01,09,4,4,1,1200
2024-04-01,09,5,2,1,900
2024-04-01,09,6,1,3,400
2024-04-01,09,7,1,4,800
2024-04-01,09,8,2,4,2800
2024-04-01,09,9,1,6,1400
2024-04-01,09,10,3,1,700
2024-04-01,09,11,1,6,1400
2024-04-01,17,1,3,4,5700
2024-04-01,17,2,1,2,400
2024-04-01,17,3,1,6,1400
2024-04-01,17,4,5,1,1900
2024-04-01,17,5,6,1,3600
2024-04-01,17,6,1,5,1300
2024-04-01,17,7,1,2,700
2024-04-01,17,8,2,1,800
2024-04-01,17,9,5,1,4000
2024-04-01,17,10,1,3,700
2024-04-01,01,1,1,2,600
2024-04-01,01,2,2,1,1700
2024-04-01,01,3,4,2,4200
2024-04-01,01,4,1,3,1100
2024-04-01,01,5,1,2,400
2024-04-01,01,6,6,3,6900
2024-04-01,01,7,4,1,2300
2024-04-01,01,8,2,3,2100
2024-04-01,01,9,1,3,1000
2024-04-01,01,10,4,1,800
2024-04-01,20,1,1,6,2000
2024-04-01,20,2,1,2,1000
2024-04-01,20,3,2,1,900
2024-04-01,20,4,1,2,800
2024-04-01,20,5,4,1,1100
2024-04-01,20,6,3,1,800
2024-04-01,20,7,1,3,600
2024-04-01,20,8,4,3,2900
2024-04-01,20,9,2,1,1000
2024-04-01,20,10,1,3,700
2024-04-01,12,1,1,4,800
2024-04-01,12,2,1,4,2000
2024-04-01,12,3,3,1,1100
2024-04-01,12,4,1,3,1000
2024-04-01,12,5,1,4,800
2024-04-01,12,6,6,1,2200
2024-04-01,12,7,1,4,1400
2024-04-01,12,8,2,3,1900
2024-04-01,12,9,1,2,800
2024-04-01,12,10,2,1,1100
2024-04-01,10,1,1,2,400
2024-04-01,10,2,1,3,400
2024-04-01,10,3,1,5,1000
2024-04-01,10,4,1,6,1300
2024-04-01,10,5,1,6,1100
2024-04-01,10,6,1,2,600
2024-04-01,10,7,1,2,400
2024-04-01,10,8,1,3,1000
2024-04-01,10,9,1,4,900
2024-04-01,10,10,1,2,700
2024-04-01,14,1,3,1,1000
2024-04-01,14,2,1,4,800
2024-04-01,14,3,1,2,700
2024-04-01,14,4,2,4,2700
