payout_win,exacta_1st,exacta_2nd,payout_exacta,payout_quinella,trifecta_1st,trifecta_2nd,trifecta_3rd,payout_trifecta,payout_trio,date,jyo_cd,race_no
120.0,1,2,200,220.0,1.0,2.0,3.0,400.0,210.0,2018-01-02,24,1
690.0,2,3,6030,850.0,2.0,3.0,5.0,26950.0,4510.0,2018-01-02,24,2
260.0,2,1,700,220.0,2.0,1.0,3.0,1510.0,270.0,2018-01-02,24,3
130.0,1,5,290,210.0,1.0,5.0,2.0,890.0,390.0,2018-01-02,24,4
120.0,1,2,390,320.0,1.0,2.0,4.0,1040.0,620.0,2018-01-02,24,5
560.0,4,1,3900,560.0,4.0,1.0,2.0,8870.0,400.0,2018-01-02,24,6
1170.0,2,4,8770,2080.0,2.0,4.0,3.0,25200.0,1790.0,2018-01-02,24,7
310.0,4,2,1100,620.0,4.0,2.0,3.0,2930.0,900.0,2018-01-02,24,8
250.0,1,3,320,280.0,1.0,3.0,6.0,790.0,320.0,2018-01-02,24,9
150.0,1,3,270,240.0,1.0,3.0,2.0,660.0,220.0,2018-01-02,24,10
530.0,6,2,6990,2060.0,6.0,2.0,1.0,30550.0,1260.0,2018-01-02,24,11
130.0,1,4,420,350.0,1.0,4.0,3.0,1230.0,420.0,2018-01-02,24,12
140.0,1,6,630,770.0,1.0,6.0,4.0,2370.0,880.0,2018-01-02,23,1
430.0,2,5,2690,1880.0,2.0,5.0,1.0,4440.0,300.0,2018-01-02,23,2
190.0,1,3,320,250.0,1.0,3.0,4.0,2010.0,960.0,2018-01-02,23,3
4990.0,4,1,1290,250.0,4.0,1.0,3.0,4350.0,330.0,2018-01-02,23,4
110.0,1,3,310,250.0,1.0,3.0,5.0,2830.0,1210.0,2018-01-02,23,5
1470.0,2,4,1970,530.0,2.0,4.0,6.0,5020.0,810.0,2018-01-02,23,6
290.0,4,1,1740,940.0,4.0,1.0,3.0,4120.0,580.0,2018-01-02,23,7
4140.0,4,1,2480,830.0,4.0,1.0,3.0,9730.0,790.0,2018-01-02,23,8
1770.0,5,1,2320,510.0,5.0,1.0,3.0,8860.0,400.0,2018-01-02,23,9
110.0,1,4,400,370.0,1.0,4.0,2.0,1900.0,830.0,2018-01-02,23,10
110.0,1,4,810,760.0,1.0,4.0,5.0,4610.0,3170.0,2018-01-02,23,11
100.0,1,2,160,170.0,1.0,2.0,6.0,1640.0,1340.0,2018-01-02,23,12
100.0,1,4,210,200.0,1.0,4.0,6.0,460.0,290.0,2018-01-02,21,1
180.0,1,4,170,130.0,1.0,4.0,5.0,570.0,310.0,2018-01-02,21,2
110.0,1,5,390,610.0,1.0,5.0,3.0,900.0,250.0,2018-01-02,21,3
100.0,1,2,270,220.0,1.0,2.0,3.0,480.0,190.0,2018-01-02,21,4
150.0,2,1,200,130.0,2.0,1.0,3.0,550.0,270.0,2018-01-02,21,5
680.0,3,2,1340,250.0,3.0,2.0,4.0,2230.0,500.0,2018-01-02,21,6
120.0,1,2,490,390.0,1.0,2.0,3.0,720.0,410.0,2018-01-02,21,7
100.0,1,3,390,420.0,1.0,3.0,5.0,1560.0,1110.0,2018-01-02,21,8
130.0,2,5,360,320.0,2.0,5.0,3.0,1280.0,540.0,2018-01-02,21,9
200.0,1,4,180,120.0,1.0,4.0,5.0,2250.0,1170.0,2018-01-02,21,10
160.0,1,3,310,360.0,1.0,3.0,4.0,790.0,230.0,2018-01-02,21,11
110.0,1,4,240,180.0,1.0,4.0,6.0,930.0,540.0,2018-01-02,21,12
270.0,2,1,650,220.0,2.0,1.0,3.0,1490.0,360.0,2018-01-02,20,1
280.0,2,4,1000,700.0,2.0,4.0,1.0,2770.0,390.0,2018-01-02,20,2
110.0,1,2,340,310.0,1.0,2.0,6.0,1280.0,510.0,2018-01-02,20,3
100.0,1,6,450,330.0,1.0,6.0,5.0,1200.0,430.0,2018-01-02,20,4
340.0,2,3,1900,1590.0,2.0,3.0,4.0,4770.0,1460.0,2018-01-02,20,5
220.0,1,5,2200,1670.0,1.0,5.0,6.0,6440.0,2710.0,2018-01-02,20,6
510.0,4,6,1410,610.0,4.0,6.0,3.0,21520.0,4220.0,2018-01-02,20,7
110.0,1,3,390,400.0,1.0,3.0,4.0,840.0,360.0,2018-01-02,20,8
790.0,3,4,1730,1220.0,3.0,4.0,6.0,8970.0,2630.0,2018-01-02,20,9
100.0,1,4,400,290.0,1.0,4.0,3.0,1330.0,610.0,2018-01-02,20,10
120.0,1,2,300,200.0,1.0,2.0,5.0,4240.0,2130.0,2018-01-02,20,11
110.0,1,3,470,380.0,1.0,3.0,5.0,3470.0,1710.0,2018-01-02,20,12
100.0,1,4,380,340.0,1.0,4.0,3.0,640.0,230.0,2018-01-02,19,1
850.0,3,1,1150,300.0,3.0,1.0,4.0,3220.0,390.0,2018-01-02,19,2
140.0,1,3,480,300.0,1.0,3.0,4.0,2040.0,1580.0,2018-01-02,19,3
110.0,1,4,690,540.0,1.0,4.0,5.0,4850.0,2380.0,2018-01-02,19,4
280.0,2,4,2790,1240.0,2.0,4.0,1.0,4850.0,200.0,2018-01-02,19,5
200.0,2,3,1030,510.0,2.0,3.0,1.0,2230.0,380.0,2018-01-02,19,6
550.0,2,1,1470,250.0,2.0,1.0,4.0,2990.0,210.0,2018-01-02,19,7
100.0,1,4,270,230.0,1.0,4.0,6.0,2350.0,1500.0,2018-01-02,19,8
160.0,1,2,220,170.0,1.0,2.0,4.0,540.0,210.0,2018-01-02,19,9
100.0,1,2,190,160.0,1.0,2.0,3.0,1210.0,670.0,2018-01-02,19,10
150.0,1,3,1240,1000.0,1.0,3.0,6.0,5420.0,2190.0,2018-01-02,19,11
100.0,1,3,250,260.0,1.0,3.0,6.0,1610.0,1090.0,2018-01-02,19,12
560.0,4,5,21130,10850.0,4.0,5.0,6.0,65020.0,13050.0,2018-01-02,18,1
110.0,1,4,380,390.0,1.0,4.0,5.0,1080.0,610.0,2018-01-02,18,2
130.0,1,2,190,180.0,1.0,2.0,5.0,610.0,510.0,2018-01-02,18,3
120.0,1,5,490,540.0,1.0,5.0,2.0,1570.0,500.0,2018-01-02,18,4
880.0,5,1,2390,430.0,5.0,1.0,3.0,8040.0,640.0,2018-01-02,18,5
720.0,3,1,1730,300.0,3.0,1.0,6.0,20380.0,2250.0,2018-01-02,18,6
160.0,1,4,560,380.0,1.0,4.0,3.0,1280.0,400.0,2018-01-02,18,7
740.0,4,2,13930,6180.0,4.0,2.0,3.0,70370.0,6540.0,2018-01-02,18,8
100.0,1,2,390,390.0,1.0,2.0,5.0,2790.0,1700.0,2018-01-02,18,9
100.0,1,2,210,180.0,1.0,2.0,5.0,1270.0,640.0,2018-01-02,18,10
360.0,2,1,430,140.0,2.0,1.0,3.0,950.0,230.0,2018-01-02,18,11
110.0,1,4,810,650.0,1.0,4.0,2.0,2700.0,860.0,2018-01-02,18,12
100.0,1,5,740,750.0,1.0,5.0,3.0,1820.0,560.0,2018-01-02,16,1
140.0,1,4,510,310.0,1.0,4.0,3.0,1290.0,320.0,2018-01-02,16,2
110.0,2,5,450,360.0,2.0,5.0,1.0,1700.0,420.0,2018-01-02,16,3
110.0,1,4,330,330.0,1.0,4.0,5.0,3180.0,1470.0,2018-01-02,16,4
100.0,1,5,970,670.0,1.0,5.0,4.0,6640.0,2510.0,2018-01-02,16,5
140.0,1,2,210,190.0,1.0,2.0,3.0,420.0,180.0,2018-01-02,16,6
100.0,1,3,470,300.0,1.0,3.0,2.0,2230.0,610.0,2018-01-02,16,7
140.0,2,3,570,500.0,2.0,3.0,1.0,2520.0,420.0,2018-01-02,16,8
290.0,4,1,540,160.0,4.0,1.0,5.0,1050.0,250.0,2018-01-02,16,9
110.0,1,3,380,290.0,1.0,3.0,2.0,1360.0,420.0,2018-01-02,16,10
390.0,2,1,740,220.0,2.0,1.0,4.0,1930.0,340.0,2018-01-02,16,11
110.0,1,3,290,290.0,1.0,3.0,4.0,900.0,510.0,2018-01-02,16,12
880.0,2,3,5730,1410.0,2.0,3.0,1.0,14880.0,510.0,2018-01-02,15,1
330.0,1,2,600,350.0,1.0,2.0,5.0,3220.0,1120.0,2018-01-02,15,2
130.0,3,2,480,310.0,3.0,2.0,5.0,1170.0,440.0,2018-01-02,15,3
590.0,2,6,2980,2760.0,2.0,6.0,3.0,5690.0,770.0,2018-01-02,15,4
270.0,3,4,920,420.0,3.0,4.0,1.0,1580.0,270.0,2018-01-02,15,5
190.0,2,5,690,700.0,2.0,5.0,3.0,1640.0,420.0,2018-01-02,15,6
2070.0,6,2,8720,1500.0,6.0,2.0,4.0,28470.0,1740.0,2018-01-02,15,7
200.0,1,4,250,160.0,1.0,4.0,6.0,780.0,350.0,2018-01-02,15,8
150.0,2,4,2040,860.0,2.0,4.0,5.0,3240.0,480.0,2018-01-02,15,9
130.0,1,3,440,380.0,1.0,3.0,6.0,970.0,410.0,2018-01-02,15,10
320.0,2,1,470,170.0,2.0,1.0,3.0,1600.0,310.0,2018-01-02,15,11
110.0,1,3,420,430.0,1.0,3.0,5.0,1040.0,580.0,2018-01-02,15,12
380.0,4,1,550,160.0,4.0,1.0,2.0,1200.0,300.0,2018-01-02,14,1
1250.0,5,2,6430,2480.0,5.0,2.0,3.0,12220.0,780.0,2018-01-02,14,2
470.0,2,4,3510,1380.0,2.0,4.0,1.0,6970.0,410.0,2018-01-02,14,3
460.0,1,4,1430,940.0,1.0,4.0,2.0,2370.0,290.0,2018-01-02,14,4
130.0,1,6,760,620.0,1.0,6.0,3.0,1930.0,590.0,2018-01-02,14,5
130.0,6,5,1150,1090.0,6.0,5.0,3.0,2010.0,380.0,2018-01-02,14,6
290.0,4,2,2520,2170.0,4.0,2.0,1.0,11650.0,1120.0,2018-01-02,14,7
180.0,1,3,540,280.0,1.0,3.0,2.0,2950.0,780.0,2018-01-02,14,8
740.0,6,4,770,300.0,6.0,4.0,5.0,6780.0,1630.0,2018-01-02,14,9
1140.0,3,2,2080,850.0,3.0,2.0,6.0,10670.0,1720.0,2018-01-02,14,10
130.0,1,2,1460,700.0,1.0,2.0,5.0,5040.0,2140.0,2018-01-02,14,11
2000.0,5,4,10470,4250.0,5.0,4.0,1.0,24480.0,1890.0,2018-01-02,14,12
200.0,1,6,360,180.0,1.0,6.0,2.0,2500.0,980.0,2018-01-02,12,1
300.0,2,3,5170,2800.0,2.0,3.0,5.0,18250.0,2890.0,2018-01-02,12,2
190.0,1,4,480,270.0,1.0,4.0,6.0,1890.0,620.0,2018-01-02,12,3
180.0,1,4,1290,1240.0,1.0,4.0,6.0,12250.0,4720.0,2018-01-02,12,4
