payout_win,exacta_1st,exacta_2nd,payout_exacta,payout_quinella,trifecta_1st,trifecta_2nd,trifecta_3rd,payout_trifecta,payout_trio,date,jyo_cd,race_no
290.0,2,6,7010,1180.0,2.0,6.0,5.0,27850.0,5150.0,2025-07-06,24,1
170.0,2,4,410,620.0,2.0,4.0,3.0,2020.0,890.0,2025-07-06,24,2
230.0,1,4,930,630.0,1.0,4.0,2.0,2550.0,490.0,2025-07-06,24,3
270.0,1,4,900,930.0,1.0,4.0,3.0,1570.0,170.0,2025-07-06,24,4
190.0,1,4,520,320.0,1.0,4.0,6.0,970.0,260.0,2025-07-06,24,5
370.0,3,4,1930,1420.0,3.0,4.0,5.0,2790.0,490.0,2025-07-06,24,6
160.0,1,3,620,410.0,1.0,3.0,4.0,1220.0,430.0,2025-07-06,24,7
200.0,2,1,410,170.0,2.0,1.0,3.0,710.0,160.0,2025-07-06,24,8
100.0,1,3,180,160.0,1.0,3.0,4.0,390.0,230.0,2025-07-06,24,9
100.0,1,5,630,690.0,1.0,5.0,4.0,3500.0,1690.0,2025-07-06,24,10
120.0,1,3,160,130.0,1.0,3.0,2.0,700.0,410.0,2025-07-06,24,11
230.0,1,4,2340,1870.0,1.0,4.0,3.0,4850.0,460.0,2025-07-06,24,12
100.0,1,2,180,160.0,1.0,2.0,5.0,1240.0,500.0,2025-07-06,22,1
120.0,1,2,290,300.0,1.0,2.0,6.0,790.0,420.0,2025-07-06,22,2
170.0,1,3,250,170.0,1.0,3.0,2.0,500.0,200.0,2025-07-06,22,3
140.0,1,3,520,320.0,1.0,3.0,5.0,1150.0,410.0,2025-07-06,22,4
220.0,1,3,460,480.0,1.0,3.0,4.0,930.0,320.0,2025-07-06,22,5
850.0,4,1,5660,910.0,4.0,1.0,6.0,8330.0,980.0,2025-07-06,22,6
130.0,1,3,550,570.0,1.0,3.0,4.0,2700.0,1110.0,2025-07-06,22,7
120.0,1,2,280,200.0,1.0,2.0,4.0,790.0,450.0,2025-07-06,22,8
190.0,1,4,860,490.0,1.0,4.0,3.0,3370.0,1040.0,2025-07-06,22,9
430.0,1,2,190,210.0,1.0,2.0,3.0,460.0,260.0,2025-07-06,22,10
230.0,1,2,350,270.0,1.0,2.0,3.0,500.0,290.0,2025-07-06,22,11
110.0,1,2,320,210.0,1.0,2.0,3.0,790.0,410.0,2025-07-06,22,12
120.0,1,4,430,270.0,1.0,4.0,6.0,1430.0,870.0,2025-07-06,21,1
130.0,1,4,740,620.0,1.0,4.0,2.0,1420.0,370.0,2025-07-06,21,2
5120.0,6,5,23560,4060.0,6.0,5.0,4.0,114870.0,6230.0,2025-07-06,21,3
100.0,1,2,220,170.0,1.0,2.0,4.0,520.0,380.0,2025-07-06,21,4
110.0,1,2,200,170.0,1.0,2.0,3.0,410.0,290.0,2025-07-06,21,5
370.0,4,3,1270,540.0,4.0,3.0,2.0,6150.0,1250.0,2025-07-06,21,6
100.0,1,2,300,220.0,1.0,2.0,5.0,2210.0,890.0,2025-07-06,21,7
300.0,2,5,2260,1260.0,2.0,5.0,6.0,17640.0,4550.0,2025-07-06,21,8
100.0,1,3,310,260.0,1.0,3.0,2.0,690.0,330.0,2025-07-06,21,9
540.0,2,1,530,200.0,2.0,1.0,5.0,1620.0,380.0,2025-07-06,21,10
470.0,2,1,1010,290.0,2.0,1.0,4.0,1790.0,230.0,2025-07-06,21,11
120.0,1,3,320,320.0,1.0,3.0,4.0,1060.0,570.0,2025-07-06,21,12
100.0,1,2,370,320.0,1.0,2.0,4.0,3630.0,2110.0,2025-07-06,19,1
170.0,1,2,370,240.0,1.0,2.0,4.0,1000.0,490.0,2025-07-06,19,2
370.0,3,5,1930,1260.0,3.0,5.0,1.0,6460.0,580.0,2025-07-06,19,3
330.0,2,5,2200,1240.0,2.0,5.0,3.0,11790.0,3560.0,2025-07-06,19,4
280.0,1,4,1070,690.0,1.0,4.0,3.0,1860.0,430.0,2025-07-06,19,5
930.0,2,1,2410,360.0,2.0,1.0,4.0,5050.0,260.0,2025-07-06,19,6
180.0,1,3,530,490.0,1.0,3.0,6.0,1950.0,1010.0,2025-07-06,19,7
100.0,1,3,560,340.0,1.0,3.0,2.0,1480.0,450.0,2025-07-06,19,8
150.0,1,3,1490,1180.0,1.0,3.0,6.0,5660.0,2700.0,2025-07-06,19,9
110.0,1,4,570,620.0,1.0,4.0,2.0,1780.0,500.0,2025-07-06,19,10
720.0,5,6,3940,2500.0,5.0,6.0,1.0,17510.0,1830.0,2025-07-06,19,11
110.0,1,2,450,460.0,1.0,2.0,5.0,1690.0,860.0,2025-07-06,19,12
160.0,1,2,390,240.0,1.0,2.0,3.0,850.0,340.0,2025-07-06,16,1
2270.0,6,2,12320,3870.0,6.0,2.0,4.0,57340.0,4030.0,2025-07-06,16,2
120.0,1,3,320,250.0,1.0,3.0,5.0,950.0,580.0,2025-07-06,16,3
140.0,1,2,270,270.0,1.0,2.0,4.0,750.0,350.0,2025-07-06,16,4
100.0,1,5,660,730.0,1.0,5.0,4.0,2260.0,600.0,2025-07-06,16,5
130.0,1,4,290,270.0,1.0,4.0,3.0,870.0,340.0,2025-07-06,16,6
110.0,1,5,620,720.0,1.0,5.0,6.0,2590.0,1290.0,2025-07-06,16,7
120.0,1,2,380,330.0,1.0,2.0,4.0,910.0,420.0,2025-07-06,16,8
550.0,5,3,10130,2470.0,5.0,3.0,1.0,38620.0,1080.0,2025-07-06,16,9
100.0,1,4,570,480.0,1.0,4.0,3.0,2020.0,610.0,2025-07-06,16,10
830.0,2,1,1360,350.0,2.0,1.0,4.0,4350.0,630.0,2025-07-06,16,11
110.0,1,5,610,560.0,1.0,5.0,3.0,1790.0,540.0,2025-07-06,16,12
130.0,1,2,820,640.0,1.0,2.0,6.0,3840.0,2120.0,2025-07-06,13,1
120.0,1,2,320,290.0,1.0,2.0,3.0,990.0,420.0,2025-07-06,13,2
160.0,1,3,400,380.0,1.0,3.0,4.0,790.0,250.0,2025-07-06,13,3
120.0,1,2,330,310.0,1.0,2.0,3.0,810.0,370.0,2025-07-06,13,4
100.0,1,2,410,420.0,1.0,2.0,4.0,660.0,250.0,2025-07-06,13,5
600.0,4,1,680,220.0,4.0,1.0,3.0,3110.0,330.0,2025-07-06,13,6
840.0,4,6,2600,1090.0,4.0,6.0,2.0,7320.0,2170.0,2025-07-06,13,7
150.0,1,3,380,260.0,1.0,3.0,2.0,2060.0,1020.0,2025-07-06,13,8
100.0,1,4,560,720.0,1.0,4.0,2.0,1610.0,370.0,2025-07-06,13,9
310.0,3,1,1090,440.0,3.0,1.0,2.0,2160.0,170.0,2025-07-06,13,10
120.0,1,3,260,170.0,1.0,3.0,5.0,1130.0,590.0,2025-07-06,13,11
100.0,1,2,210,240.0,1.0,2.0,3.0,580.0,280.0,2025-07-06,13,12
210.0,1,4,430,570.0,1.0,4.0,2.0,1480.0,570.0,2025-07-06,12,1
270.0,2,1,970,410.0,2.0,1.0,5.0,1330.0,210.0,2025-07-06,12,2
140.0,1,2,320,360.0,1.0,2.0,6.0,860.0,300.0,2025-07-06,12,3
670.0,4,3,6560,3700.0,4.0,3.0,2.0,12710.0,910.0,2025-07-06,12,4
100.0,1,6,270,140.0,1.0,6.0,2.0,660.0,300.0,2025-07-06,12,5
260.0,1,2,240,160.0,1.0,2.0,4.0,470.0,180.0,2025-07-06,12,6
100.0,1,6,1630,1790.0,1.0,6.0,5.0,5020.0,1070.0,2025-07-06,12,7
400.0,3,4,880,310.0,3.0,4.0,5.0,2870.0,1170.0,2025-07-06,12,8
210.0,2,3,510,500.0,2.0,3.0,4.0,1110.0,310.0,2025-07-06,12,9
100.0,1,4,510,410.0,1.0,4.0,2.0,3010.0,1400.0,2025-07-06,12,10
110.0,1,4,220,190.0,1.0,4.0,3.0,690.0,360.0,2025-07-06,12,11
110.0,1,3,390,410.0,1.0,3.0,4.0,1220.0,650.0,2025-07-06,12,12
100.0,1,3,220,210.0,1.0,3.0,6.0,640.0,350.0,2025-07-06,10,1
110.0,1,2,180,160.0,1.0,2.0,3.0,390.0,270.0,2025-07-06,10,2
270.0,1,3,330,160.0,1.0,3.0,4.0,1300.0,560.0,2025-07-06,10,3
130.0,1,3,300,200.0,1.0,3.0,4.0,1350.0,640.0,2025-07-06,10,4
360.0,4,5,810,260.0,4.0,5.0,6.0,3640.0,1250.0,2025-07-06,10,5
760.0,1,3,1160,780.0,1.0,3.0,2.0,4760.0,1090.0,2025-07-06,10,6
220.0,4,1,780,310.0,4.0,1.0,6.0,5820.0,2060.0,2025-07-06,10,7
200.0,1,2,240,160.0,1.0,2.0,6.0,950.0,420.0,2025-07-06,10,8
150.0,1,2,720,290.0,1.0,2.0,3.0,1250.0,290.0,2025-07-06,10,9
440.0,3,5,1420,1490.0,3.0,5.0,2.0,6120.0,830.0,2025-07-06,10,10
5020.0,6,5,35430,19230.0,6.0,5.0,3.0,401180.0,42160.0,2025-07-06,10,11
100.0,1,2,180,180.0,1.0,2.0,3.0,620.0,370.0,2025-07-06,10,12
160.0,1,5,2650,1190.0,1.0,5.0,3.0,11830.0,3130.0,2025-07-06,09,1
160.0,2,5,1470,420.0,2.0,5.0,3.0,4500.0,860.0,2025-07-06,09,2
180.0,1,3,330,340.0,1.0,3.0,2.0,530.0,200.0,2025-07-06,09,3
220.0,1,6,18710,8880.0,1.0,6.0,2.0,54540.0,11360.0,2025-07-06,09,4
190.0,1,6,430,300.0,1.0,6.0,2.0,1090.0,440.0,2025-07-06,09,5
480.0,2,4,1000,390.0,2.0,4.0,6.0,17870.0,2700.0,2025-07-06,09,6
100.0,1,2,250,160.0,1.0,2.0,4.0,700.0,540.0,2025-07-06,09,7
100.0,1,3,190,190.0,1.0,3.0,2.0,390.0,200.0,2025-07-06,09,8
3220.0,3,6,15630,6420.0,3.0,6.0,1.0,45270.0,1380.0,2025-07-06,09,9
100.0,1,2,230,210.0,1.0,2.0,3.0,540.0,260.0,2025-07-06,09,10
100.0,1,4,570,350.0,1.0,4.0,5.0,1200.0,370.0,2025-07-06,09,11
1950.0,4,5,18170,5630.0,4.0,5.0,3.0,55940.0,3620.0,2025-07-06,09,12
120.0,1,3,460,430.0,1.0,3.0,5.0,1120.0,510.0,2025-07-06,08,1
180.0,2,3,1760,1560.0,2.0,3.0,4.0,4130.0,1290.0,2025-07-06,08,2
340.0,4,2,1650,1610.0,4.0,2.0,6.0,6880.0,2630.0,2025-07-06,08,3
260.0,2,1,480,300.0,2.0,1.0,6.0,5730.0,2360.0,2025-07-06,08,4
5580.0,4,6,8140,3630.0,4.0,6.0,2.0,17100.0,1060.0,2025-07-06,08,5
160.0,1,6,960,810.0,1.0,6.0,2.0,1770.0,370.0,2025-07-06,08,6
350.0,6,1,1050,330.0,6.0,1.0,3.0,2170.0,290.0,2025-07-06,08,7
310.0,5,3,930,760.0,5.0,3.0,1.0,2290.0,220.0,2025-07-06,08,8
260.0,2,5,830,480.0,2.0,5.0,1.0,1760.0,190.0,2025-07-06,08,9
170.0,1,6,4950,3980.0,1.0,6.0,3.0,16840.0,3200.0,2025-07-06,08,10
190.0,1,6,2100,2120.0,1.0,6.0,3.0,9710.0,2960.0,2025-07-06,08,11
180.0,3,4,1940,1640.0,3.0,4.0,1.0,4060.0,320.0,2025-07-06,08,12
110.0,2,1,1190,580.0,2.0,1.0,4.0,3100.0,610.0,2025-07-06,07,1
470.0,4,3,5650,3430.0,4.0,3.0,1.0,17590.0,1490.0,2025-07-06,07,2
350.0,4,3,1620,890.0,4.0,3.0,1.0,6060.0,410.0,2025-07-06,07,3
400.0,3,1,1630,200.0,3.0,1.0,5.0,1930.0,250.0,2025-07-06,07,4
320.0,3,5,2900,2300.0,3.0,5.0,4.0,25550.0,8070.0,2025-07-06,07,5
140.0,1,4,770,660.0,1.0,4.0,5.0,1630.0,500.0,2025-07-06,07,6
120.0,1,3,240,240.0,1.0,3.0,2.0,770.0,300.0,2025-07-06,07,7
1010.0,4,1,2580,560.0,4.0,1.0,5.0,6640.0,650.0,2025-07-06,07,8
180.0,1,5,460,400.0,1.0,5.0,2.0,1050.0,330.0,2025-07-06,07,9
140.0,1,3,950,730.0,1.0,3.0,2.0,1860.0,460.0,2025-07-06,07,10
150.0,1,5,890,520.0,1.0,5.0,2.0,3240.0,1470.0,2025-07-06,07,11
110.0,1,3,240,210.0,1.0,3.0,2.0,1130.0,550.0,2025-07-06,07,12
250.0,1,2,1190,690.0,1.0,2.0,4.0,2440.0,780.0,2025-07-06,04,1
170.0,1,2,640,380.0,1.0,2.0,4.0,2000.0,820.0,2025-07-06,04,2
850.0,3,1,2320,720.0,3.0,1.0,6.0,11020.0,1340.0,2025-07-06,04,3
290.0,1,3,970,650.0,1.0,3.0,6.0,4160.0,1230.0,2025-07-06,04,4
110.0,1,3,450,480.0,1.0,3.0,4.0,3040.0,1550.0,2025-07-06,04,5
600.0,2,4,4730,3320.0,2.0,4.0,1.0,19270.0,1290.0,2025-07-06,04,6
270.0,1,2,900,520.0,1.0,2.0,3.0,3840.0,1360.0,2025-07-06,04,7
110.0,1,3,350,260.0,1.0,3.0,4.0,850.0,300.0,2025-07-06,04,8
810.0,4,6,3860,2210.0,4.0,6.0,1.0,10500.0,1070.0,2025-07-06,04,9
150.0,1,2,270,180.0,1.0,2.0,5.0,2220.0,1200.0,2025-07-06,04,10
630.0,3,1,1030,170.0,3.0,1.0,4.0,3240.0,590.0,2025-07-06,04,11
180.0,1,3,400,280.0,1.0,3.0,5.0,2080.0,910.0,2025-07-06,04,12
200.0,1,4,980,460.0,1.0,4.0,5.0,4650.0,1470.0,2025-07-06,03,1
260.0,1,3,320,180.0,1.0,3.0,5.0,630.0,270.0,2025-07-06,03,2
140.0,1,4,240,270.0,1.0,4.0,3.0,1040.0,560.0,2025-07-06,03,3
200.0,5,6,15250,14150.0,5.0,6.0,2.0,59720.0,3700.0,2025-07-06,03,4
180.0,1,6,4820,3580.0,1.0,6.0,3.0,18100.0,4220.0,2025-07-06,03,5
600.0,1,4,910,540.0,1.0,4.0,2.0,8950.0,3020.0,2025-07-06,03,6
2360.0,5,2,10640,3180.0,5.0,2.0,4.0,125760.0,6190.0,2025-07-06,03,7
230.0,4,2,2860,940.0,4.0,2.0,3.0,3780.0,410.0,2025-07-06,03,8
140.0,1,4,400,420.0,1.0,4.0,3.0,2300.0,820.0,2025-07-06,03,9
130.0,1,2,330,150.0,1.0,2.0,6.0,650.0,350.0,2025-07-06,03,10
100.0,1,3,320,310.0,1.0,3.0,5.0,860.0,430.0,2025-07-06,03,11
530.0,2,5,19610,8570.0,2.0,5.0,1.0,49090.0,2000.0,2025-07-06,03,12
470.0,2,3,1560,1120.0,2.0,3.0,6.0,4500.0,1500.0,2025-07-06,02,1
270.0,5,1,1180,380.0,5.0,1.0,6.0,3270.0,680.0,2025-07-06,02,2
500.0,2,4,930,400.0,2.0,4.0,1.0,3990.0,790.0,2025-07-06,02,3
290.0,1,4,820,620.0,1.0,4.0,3.0,6430.0,2100.0,2025-07-06,02,4
1060.0,2,4,3630,730.0,2.0,4.0,3.0,16300.0,1680.0,2025-07-06,02,5
440.0,5,6,2070,1990.0,5.0,6.0,2.0,20470.0,8260.0,2025-07-06,02,6
130.0,1,2,280,220.0,1.0,2.0,5.0,750.0,390.0,2025-07-06,02,7
250.0,1,4,1860,1010.0,1.0,4.0,2.0,4260.0,440.0,2025-07-06,02,8
780.0,6,4,18050,9360.0,6.0,4.0,5.0,123600.0,8000.0,2025-07-06,02,9
420.0,2,1,760,200.0,2.0,1.0,5.0,3190.0,450.0,2025-07-06,02,10
150.0,1,4,1480,870.0,1.0,4.0,3.0,2510.0,360.0,2025-07-06,02,11
180.0,1,6,4270,3780.0,1.0,6.0,4.0,12640.0,1730.0,2025-07-06,02,12
230.0,5,1,1280,560.0,5.0,1.0,3.0,7390.0,880.0,2025-07-06,01,1
280.0,4,5,1390,810.0,4.0,5.0,3.0,3620.0,580.0,2025-07-06,01,2
310.0,1,3,1810,800.0,1.0,3.0,5.0,6450.0,1960.0,2025-07-06,01,3
250.0,2,4,1060,650.0,2.0,4.0,5.0,5960.0,2090.0,2025-07-06,01,4
300.0,1,4,3290,1350.0,1.0,4.0,3.0,7050.0,610.0,2025-07-06,01,5
100.0,1,2,210,170.0,1.0,2.0,5.0,770.0,390.0,2025-07-06,01,6
4300.0,5,1,15530,3340.0,5.0,1.0,2.0,88470.0,4430.0,2025-07-06,01,7
2130.0,3,1,1870,360.0,3.0,1.0,5.0,3540.0,250.0,2025-07-06,01,8
230.0,2,3,470,300.0,2.0,3.0,4.0,3030.0,1240.0,2025-07-06,01,9
230.0,2,3,570,230.0,2.0,3.0,4.0,1200.0,400.0,2025-07-06,01,10
560.0,3,1,2270,600.0,3.0,1.0,5.0,7900.0,1710.0,2025-07-06,01,11
380.0,4,1,1170,440.0,4.0,1.0,2.0,2780.0,240.0,2025-07-06,01,12
130.0,1,4,1190,530.0,1.0,4.0,3.0,1800.0,350.0,2025-07-01,24,1
200.0,1,5,960,680.0,1.0,5.0,6.0,2090.0,820.0,2025-07-01,24,2
200.0,1,4,320,300.0,1.0,4.0,5.0,1160.0,340.0,2025-07-01,24,3
110.0,1,3,210,130.0,1.0,3.0,2.0,670.0,360.0,2025-07-01,24,4
130.0,1,2,290,360.0,1.0,2.0,5.0,990.0,490.0,2025-07-01,24,5
140.0,1,5,260,210.0,1.0,5.0,2.0,1220.0,490.0,2025-07-01,24,6
180.0,1,4,270,220.0,1.0,4.0,5.0,730.0,290.0,2025-07-01,24,7
100.0,1,3,280,230.0,1.0,3.0,2.0,680.0,520.0,2025-07-01,24,8
160.0,1,3,730,400.0,1.0,3.0,2.0,1490.0,320.0,2025-07-01,24,9
140.0,1,2,370,310.0,1.0,2.0,3.0,730.0,260.0,2025-07-01,24,10
900.0,5,6,11340,5430.0,5.0,6.0,1.0,23860.0,3040.0,2025-07-01,24,11
380.0,3,1,520,190.0,3.0,1.0,4.0,800.0,200.0,2025-07-01,24,12
390.0,6,1,1190,270.0,6.0,1.0,2.0,2700.0,400.0,2025-07-01,23,1
180.0,1,2,250,130.0,1.0,2.0,4.0,1250.0,790.0,2025-07-01,23,2
130.0,1,4,310,220.0,1.0,4.0,2.0,780.0,230.0,2025-07-01,23,3
330.0,2,5,770,530.0,2.0,5.0,6.0,1710.0,640.0,2025-07-01,23,4
610.0,4,1,1670,320.0,4.0,1.0,5.0,7140.0,1680.0,2025-07-01,23,5
1970.0,5,3,5040,550.0,5.0,3.0,6.0,14840.0,1680.0,2025-07-01,23,6
530.0,2,3,3470,1750.0,2.0,3.0,5.0,22060.0,6620.0,2025-07-01,23,7
130.0,2,1,210,140.0,2.0,1.0,4.0,660.0,310.0,2025-07-01,23,8
580.0,2,1,1500,710.0,2.0,1.0,3.0,2900.0,360.0,2025-07-01,23,9
190.0,3,2,740,270.0,3.0,2.0,4.0,2530.0,690.0,2025-07-01,23,10
750.0,4,2,5000,1600.0,4.0,2.0,3.0,21450.0,2360.0,2025-07-01,23,11
170.0,1,3,410,480.0,1.0,3.0,2.0,1450.0,390.0,2025-07-01,23,12
110.0,1,3,260,240.0,1.0,3.0,2.0,740.0,270.0,2025-07-01,21,1
100.0,1,5,1020,1220.0,1.0,5.0,4.0,3090.0,480.0,2025-07-01,21,2
110.0,1,3,180,120.0,1.0,3.0,5.0,540.0,290.0,2025-07-01,21,3
100.0,1,2,430,460.0,1.0,2.0,5.0,3720.0,1890.0,2025-07-01,21,4
100.0,1,2,320,270.0,1.0,2.0,5.0,2320.0,2060.0,2025-07-01,21,5
240.0,2,1,380,160.0,2.0,1.0,5.0,820.0,230.0,2025-07-01,21,6
110.0,1,4,430,320.0,1.0,4.0,2.0,680.0,310.0,2025-07-01,21,7
980.0,5,6,8490,6580.0,5.0,6.0,1.0,63620.0,3580.0,2025-07-01,21,8
650.0,3,1,830,160.0,3.0,1.0,5.0,2050.0,220.0,2025-07-01,21,9
340.0,3,1,2190,710.0,3.0,1.0,2.0,6240.0,320.0,2025-07-01,21,10
100.0,1,3,380,560.0,1.0,3.0,4.0,790.0,300.0,2025-07-01,21,11
100.0,1,3,270,200.0,1.0,3.0,5.0,1110.0,630.0,2025-07-01,21,12
450.0,5,4,1430,550.0,5.0,4.0,2.0,3510.0,270.0,2025-07-01,20,1
130.0,1,6,7020,7240.0,1.0,6.0,3.0,27640.0,2530.0,2025-07-01,20,2
250.0,3,4,1440,1100.0,3.0,4.0,2.0,4950.0,1180.0,2025-07-01,20,3
240.0,3,1,890,270.0,3.0,1.0,4.0,2090.0,520.0,2025-07-01,20,4
100.0,1,2,200,200.0,1.0,2.0,3.0,1630.0,1050.0,2025-07-01,20,5
800.0,1,3,920,290.0,1.0,3.0,5.0,2220.0,230.0,2025-07-01,20,6
300.0,1,3,690,570.0,1.0,3.0,2.0,1730.0,530.0,2025-07-01,20,7
750.0,2,3,4030,2090.0,2.0,3.0,1.0,4310.0,200.0,2025-07-01,20,8
150.0,5,1,520,320.0,5.0,1.0,3.0,2110.0,370.0,2025-07-01,20,9
200.0,1,3,240,170.0,1.0,3.0,2.0,1230.0,640.0,2025-07-01,20,10
180.0,4,5,560,540.0,4.0,5.0,2.0,1620.0,800.0,2025-07-01,20,11
550.0,3,5,2220,1100.0,3.0,5.0,2.0,9650.0,3280.0,2025-07-01,20,12
1570.0,6,2,9920,1930.0,6.0,2.0,3.0,22670.0,700.0,2025-07-01,19,1
180.0,1,3,410,180.0,1.0,3.0,2.0,810.0,190.0,2025-07-01,19,2
800.0,3,1,1310,300.0,3.0,1.0,4.0,3720.0,450.0,2025-07-01,19,3
160.0,1,5,1610,1260.0,1.0,5.0,4.0,6470.0,1310.0,2025-07-01,19,4
850.0,3,4,16620,7140.0,3.0,4.0,6.0,64940.0,10870.0,2025-07-01,19,5
830.0,5,1,4580,1130.0,5.0,1.0,6.0,16780.0,1730.0,2025-07-01,19,6
120.0,1,2,300,240.0,1.0,2.0,4.0,840.0,410.0,2025-07-01,19,7
120.0,1,2,200,240.0,1.0,2.0,4.0,1560.0,820.0,2025-07-01,19,8
140.0,1,4,330,250.0,1.0,4.0,5.0,1510.0,650.0,2025-07-01,19,9
150.0,1,2,280,170.0,1.0,2.0,5.0,890.0,480.0,2025-07-01,19,10
100.0,1,2,300,430.0,1.0,2.0,3.0,820.0,350.0,2025-07-01,19,11
130.0,1,2,410,340.0,1.0,2.0,5.0,1460.0,660.0,2025-07-01,19,12
100.0,1,3,210,150.0,1.0,3.0,4.0,1010.0,790.0,2025-07-01,18,1
100.0,1,4,290,250.0,1.0,4.0,2.0,710.0,240.0,2025-07-01,18,2
140.0,1,4,230,160.0,1.0,4.0,6.0,1880.0,650.0,2025-07-01,18,3
130.0,1,2,170,140.0,1.0,2.0,5.0,620.0,410.0,2025-07-01,18,4
590.0,5,1,1350,460.0,5.0,1.0,4.0,7200.0,820.0,2025-07-01,18,5
1200.0,5,4,4910,1310.0,5.0,4.0,2.0,20530.0,2600.0,2025-07-01,18,6
180.0,1,5,1840,660.0,1.0,5.0,3.0,6680.0,1840.0,2025-07-01,18,7
1010.0,1,4,480,270.0,1.0,4.0,5.0,1870.0,490.0,2025-07-01,18,8
330.0,3,1,350,170.0,3.0,1.0,5.0,1040.0,310.0,2025-07-01,18,9
1770.0,3,2,1700,990.0,3.0,2.0,4.0,6920.0,1130.0,2025-07-01,18,10
240.0,1,5,630,580.0,1.0,5.0,4.0,2080.0,470.0,2025-07-01,18,11
170.0,1,2,240,200.0,1.0,2.0,3.0,590.0,310.0,2025-07-01,18,12
140.0,1,4,410,430.0,1.0,4.0,3.0,1460.0,490.0,2025-07-01,16,1
140.0,1,3,480,340.0,1.0,3.0,5.0,1470.0,550.0,2025-07-01,16,2
520.0,2,1,710,250.0,2.0,1.0,3.0,2880.0,480.0,2025-07-01,16,3
150.0,1,2,200,160.0,1.0,2.0,3.0,1140.0,510.0,2025-07-01,16,4
130.0,1,3,1010,860.0,1.0,3.0,2.0,3020.0,800.0,2025-07-01,16,5
360.0,2,1,1690,430.0,2.0,1.0,4.0,5240.0,710.0,2025-07-01,16,6
110.0,1,4,1010,920.0,1.0,4.0,6.0,6890.0,3640.0,2025-07-01,16,7
3810.0,3,5,4620,2460.0,3.0,5.0,2.0,19750.0,6750.0,2025-07-01,16,8
500.0,2,1,730,230.0,2.0,1.0,6.0,2310.0,680.0,2025-07-01,16,9
130.0,1,2,260,280.0,1.0,2.0,3.0,700.0,310.0,2025-07-01,16,10
120.0,1,3,280,210.0,1.0,3.0,6.0,3580.0,2370.0,2025-07-01,16,11
180.0,1,3,390,310.0,1.0,3.0,5.0,1790.0,830.0,2025-07-01,16,12
110.0,1,2,280,170.0,1.0,2.0,3.0,550.0,190.0,2025-07-01,11,1
1080.0,4,3,7070,1140.0,4.0,3.0,1.0,18450.0,760.0,2025-07-01,11,2
230.0,1,2,960,440.0,1.0,2.0,4.0,2310.0,560.0,2025-07-01,11,3
